0,9.562,18.209,26.03,33.103,39.499
0,7.287,16.601,24.423,31.496,37.893
0,5.411,15.152,22.978,30.051,36.448
0,3.851,13.746,21.584,28.657,35.053
0,2.879,12.484,20.342,27.415,33.812
0,1.808,11.039,18.967,26.04,32.437
0,0,0,0,0,0
0,-1.18,14.087,21.913,28.986,35.382
0,-0.62,13.781,21.616,28.689,35.086
0,-0.41,12.629,20.482,27.555,33.952
0,0,0,0,0,0
0,-0.1,9.723,17.758,24.832,31.228
0,6.847,14.514,21.688,28.368,34.623
0,5.115,13.419,20.666,27.672,34.053
0,2.828,11.393,19.339,26.4,32.795
0,1.881,10.426,19.265,26.336,32.732
0,0,0,0,0,0
0,-0.34,6.621,16.564,23.638,30.035
0,2.332,13.354,20.536,27.178,33.454
0,3.298,13.36,20.676,27.325,33.913
0,3.062,11.651,19.515,26.165,32.665
0,1.707,9.538,17.503,24.16,30.581
0,0,0,0,0,0
0,0.011,7.556,14.217,22.459,28.856
0,2.332,12.656,19.699,26.174,32.03
0,0,0,0,0,0
0,6.047,12.742,19.699,26.192,32.336
0,4.923,11.489,18.474,24.966,31.1
0,3.105,9.412,16.302,22.775,28.865
0,2.249,8.517,15.284,21.708,27.929
0,6.847,13.679,20.853,27.329,33.185
0,4.889,11.459,18.502,24.977,30.833
0,4.345,11.681,18.574,25.049,31.13
0,4.879,11.636,18.722,25.165,31.242
0,3.972,10.49,17.46,23.9,29.941
0,3.06,9.386,16.241,22.671,28.696
